LSOA21CD,LSOA21NM,LSOA21NMW,Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Decile (where 1 is most deprived 10% of LSOAs),,,,,,,,,,,,,,,,,,,,,Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners)
E01022532,Basingstoke and Deane 022A,,11.534,7,0.024,10,0.025,10,3.697,9,-1.37,10,0.07,5,33.816,2,45.834,1,,,,,,,,,,,,,,,,,,,,,2,1.039,3878,2,1343,273,725,345,735
E01022533,Basingstoke and Deane 022B,,9.799,8,0.04,9,0.033,10,6.918,8,-1.034,9,-0.292,7,34.947,2,25.479,4,,,,,,,,,,,,,,,,,,,,,4,0.26,11271,4,1760,370,985,405,1011
E01022561,Basingstoke and Deane 017D,,16.726,6,0.03,10,0.032,10,4.152,9,-1.043,9,0.137,5,51.014,1,45.388,1,,,,,,,,,,,,,,,,,,,,,1,0.216,11899,4,1465,273,808,384,825
E01022563,Basingstoke and Deane 020B,,3.913,10,0.035,10,0.025,10,2.254,10,-0.98,9,-0.924,9,19.64,6,12.509,7,,,,,,,,,,,,,,,,,,,,,6,-0.555,24260,8,1748,308,938,502,948
E01022589,East Hampshire 013B,,13.571,7,0.085,6,0.067,6,8.777,8,-0.804,9,0.259,4,23.391,4,27.127,4,,,,,,,,,,,,,,,,,,,,,4,0.632,7118,3,1911,381,1059,471,1098
E01022591,East Hampshire 007A,,11.041,8,0.032,10,0.03,10,3.13,10,-1.662,10,-0.385,7,42.268,1,32.614,3,,,,,,,,,,,,,,,,,,,,,3,0.53,8079,3,2427,363,1252,812,1279
E01022592,East Hampshire 011A,,16.593,6,0.065,7,0.055,8,6.945,8,-0.708,8,0.165,5,30.438,3,53.581,1,,,,,,,,,,,,,,,,,,,,,1,0.776,5837,2,2320,417,1188,715,1207
E01022596,East Hampshire 007E,,4.505,10,0.019,10,0.028,10,0.961,10,-1.333,10,-1.23,10,27.616,3,13.598,7,,,,,,,,,,,,,,,,,,,,,7,0.093,13800,5,1428,202,703,523,721
E01022597,East Hampshire 011B,,17.361,6,0.031,10,0.029,10,11.254,7,-1.822,10,-0.795,9,45.137,1,64.862,1,,,,,,,,,,,,,,,,,,,,,1,0.44,9023,3,2918,653,1585,680,1441
E01022606,East Hampshire 014A,,4.623,10,0.036,9,0.029,10,5.269,9,-1.221,10,-0.493,8,21.991,5,8.361,8,,,,,,,,,,,,,,,,,,,,,9,-0.019,15618,5,2345,382,1281,682,1307
E01022627,East Hampshire 007F,,12.778,7,0.044,9,0.027,10,3.525,9,-1.734,10,-0.822,9,36.932,1,52.852,1,,,,,,,,,,,,,,,,,,,,,1,0.54,7991,3,2209,357,1175,677,1187
E01022647,Eastleigh 005D,,5.193,10,0.033,10,0.039,9,4.985,9,-0.943,9,-0.887,9,18.792,6,17.987,6,,,,,,,,,,,,,,,,,,,,,4,-0.385,21792,7,1484,272,812,400,831
E01022648,Eastleigh 004A,,13.449,7,0.084,6,0.074,6,20.047,5,-0.5,8,0.043,5,5.872,10,25.573,4,,,,,,,,,,,,,,,,,,,,,3,0.046,14540,5,1211,177,642,392,685
